"panel","wave","date","e_home","e_school","e_work","e_other"
"F",7,2020-11-08,1,0,0,0
"F",7,2020-11-05,3,11,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-04,5,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,3,8,0,1
"F",7,2020-11-04,2,1,0,2
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,4,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-08,4,27,0,0
"F",7,2020-11-05,3,45,0,10
"F",7,2020-11-08,4,0,0,0
"F",7,2020-11-05,2,2,0,0
"F",7,2020-11-04,4,33,0,1
"F",7,2020-11-04,3,3,0,1
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-09,3,3,0,0
"F",7,2020-11-04,2,1,0,0
"F",7,2020-11-05,6,14,0,0
"F",7,2020-11-06,3,0,0,0
"F",7,2020-11-04,0,2,0,2
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-08,1,0,0,2
"F",7,2020-11-05,6,9,0,0
"F",7,2020-11-05,3,8,0,0
"F",7,2020-11-07,3,0,0,2
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,5,3,0,0
"F",7,2020-11-04,0,0,0,0
"F",7,2020-11-04,4,20,0,18
"F",7,2020-11-04,3,0,0,4
"F",7,2020-11-04,2,0,0,2
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-09,3,1,0,0
"F",7,2020-11-04,1,5,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-08,2,0,0,2
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-05,1,38,0,2
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,3,23,0,0
"F",7,2020-11-08,5,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,3,4,0,0
"F",7,2020-11-04,4,33,0,33
"F",7,2020-11-04,4,41,0,5
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-09,5,7,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-04,0,0,0,4
"F",7,2020-11-09,1,32,0,0
"F",7,2020-11-05,4,0,0,0
"F",7,2020-11-05,3,16,0,0
"F",7,2020-11-06,2,3,0,0
"F",7,2020-11-05,5,0,0,0
"F",7,2020-11-05,2,0,0,1
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-08,1,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,4,10,0,4
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-10,3,0,0,0
"F",7,2020-11-04,4,4,0,0
"F",7,2020-11-04,3,3,0,0
"F",7,2020-11-04,1,55,0,0
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-04,3,24,0,0
"F",7,2020-11-05,3,7,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-09,2,26,0,6
"F",7,2020-11-05,4,0,0,0
"F",7,2020-11-05,3,0,0,14
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,7,0,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-05,2,2,0,0
"F",7,2020-11-09,6,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-05,3,33,0,29
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-04,2,32,0,32
"F",7,2020-11-05,1,0,0,0
"F",7,2020-11-05,2,2,0,1
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-06,3,0,0,0
"F",7,2020-11-05,3,39,0,0
"F",7,2020-11-05,2,2,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-04,2,10,0,1
"F",7,2020-11-06,6,0,5,1
"F",7,2020-11-04,1,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,3,2,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-04,1,15,0,1
"F",7,2020-11-04,0,106,0,5
"F",7,2020-11-05,1,22,0,1
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-09,5,1,0,0
"F",7,2020-11-05,2,7,0,0
"F",7,2020-11-04,2,0,0,2
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,3,1,0,3
"F",7,2020-11-05,4,19,0,0
"F",7,2020-11-04,3,23,0,0
"F",7,2020-11-06,2,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-04,3,13,14,2
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-04,2,39,0,31
"F",7,2020-11-08,1,0,0,0
"F",7,2020-11-04,3,1,0,0
"F",7,2020-11-04,4,0,0,0
"F",7,2020-11-05,1,0,0,0
"F",7,2020-11-05,8,3,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-04,2,18,0,1
"F",7,2020-11-05,2,0,0,1
"F",7,2020-11-04,2,25,0,3
"F",7,2020-11-04,3,0,0,2
"F",7,2020-11-05,0,0,0,2
"F",7,2020-11-05,8,5,5,0
"F",7,2020-11-08,3,0,0,3
"F",7,2020-11-04,5,52,0,12
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,3,2,2,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,2,19,0,0
"F",7,2020-11-08,0,0,0,0
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,3,3,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,2,36,0,0
"F",7,2020-11-09,8,0,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,3,29,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,4,3,0,0
"F",7,2020-11-09,1,10,0,7
"F",7,2020-11-09,3,0,0,0
"F",7,2020-11-09,2,54,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,3,32,0,1
"F",7,2020-11-09,1,26,0,25
"F",7,2020-11-09,0,0,0,0
"F",7,2020-11-09,2,7,0,0
"F",7,2020-11-09,3,16,0,0
"F",7,2020-11-09,3,0,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,5,2,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,1,6,0,0
"F",7,2020-11-09,2,1,0,2
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,3,0,0,1
"F",7,2020-11-09,2,10,0,0
"F",7,2020-11-09,3,36,0,1
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,3,3,0,0
"F",7,2020-11-09,3,0,0,1
"F",7,2020-11-09,4,21,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,3,2,0,2
"F",7,2020-11-09,3,24,0,0
"F",7,2020-11-09,3,0,0,0
"F",7,2020-11-09,2,18,0,0
"F",7,2020-11-09,3,0,2,0
"F",7,2020-11-09,3,0,0,0
"F",7,2020-11-09,4,2,0,0
"F",7,2020-11-09,3,31,0,0
"F",7,2020-11-09,3,55,0,0
"F",7,2020-11-09,1,34,0,0
"F",7,2020-11-09,5,27,0,0
"F",7,2020-11-10,2,0,0,0
"F",7,2020-11-09,2,5,0,2
"F",7,2020-11-09,2,26,0,9
"F",7,2020-11-09,2,30,0,0
"F",7,2020-11-09,3,0,0,3
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,2,0,0,0
"F",7,2020-11-09,3,10,0,0
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,3,31,0,0
"F",7,2020-11-09,5,34,0,34
"F",7,2020-11-09,3,32,0,0
"F",7,2020-11-09,1,4,0,0
"F",7,2020-11-09,3,29,0,0
"F",7,2020-11-09,2,30,0,3
"F",7,2020-11-09,1,37,0,2
"F",7,2020-11-09,5,0,0,0
"F",7,2020-11-09,0,14,0,3
"F",7,2020-11-09,1,4,1,3
"F",7,2020-11-09,2,32,0,0
"F",7,2020-11-09,2,0,0,2
"F",7,2020-11-09,2,11,0,0
"F",7,2020-11-09,2,1,0,0
"F",7,2020-11-09,2,0,0,112
"F",7,2020-11-09,4,0,0,0
"F",7,2020-11-09,0,0,1,3
"F",7,2020-11-09,1,2,0,2
"F",7,2020-11-10,1,15,0,0
"F",7,2020-11-09,3,4,0,0
"F",7,2020-11-09,3,0,0,1
"F",7,2020-11-09,2,5,0,0
"F",7,2020-11-09,2,5,0,0
"F",7,2020-11-09,3,0,0,0
"F",7,2020-11-09,0,0,0,0
"F",7,2020-11-09,3,15,0,0
"F",7,2020-11-09,2,43,0,0
"F",7,2020-11-09,2,13,0,0
"F",8,2020-11-19,2,0,0,0
"F",8,2020-11-19,4,33,0,0
"F",8,2020-11-22,2,0,0,0
"F",8,2020-11-19,2,1,0,1
"F",8,2020-11-23,2,0,0,0
"F",8,2020-11-19,3,3,0,2
"F",8,2020-11-23,2,37,0,16
"F",8,2020-11-21,2,0,0,0
"F",8,2020-11-20,4,0,0,0
"F",8,2020-11-19,5,0,0,0
"F",8,2020-11-20,2,0,0,0
"F",8,2020-11-18,5,0,0,0
"F",8,2020-11-19,2,0,0,0
"F",8,2020-11-20,3,1,0,0
"F",8,2020-11-19,3,5,0,1
"F",8,2020-11-21,2,0,0,1
"F",8,2020-11-23,1,1,0,0
"F",8,2020-11-23,1,0,0,5
"F",8,2020-11-19,3,34,0,0
"F",8,2020-11-20,3,0,0,0
"F",8,2020-11-20,5,0,0,0
"F",8,2020-11-22,1,0,0,0
"F",8,2020-11-22,3,0,0,0
"F",8,2020-11-19,0,0,0,0
"F",8,2020-11-19,4,0,0,0
