"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"POL",195.940831690447,182.639261322708,215.237519085406,17641.278676257,15084.0562737934,22018.5256902356,"february",TRUE
"PRI",1.53078774758162,1.42686922908366,1.68154311785474,NA,NA,NA,"february",TRUE
"PRT",19.900240718561,18.5492999780876,21.8600605321116,8327.88112226814,7277.98087175954,9824.20089287644,"february",TRUE
"QAT",327.588577982466,305.350015023903,359.850227220914,703.442249992775,585.134976229436,1009.55247124015,"february",TRUE
"ROU",171.448227729141,159.80935365737,188.332829199731,4725.58735850381,2616.14777704705,6445.26995908609,"february",TRUE
"RUS",119.401444311366,111.295799868525,131.16036319267,22447.3587276956,19458.7425304243,27409.6534016956,"february",TRUE
"SAU",12.2463019806529,11.4149538326693,13.4523449428379,659.197661803574,547.165744513955,817.128278787319,"february",TRUE
"SEN",10.7155142330713,9.98808460358561,11.7708018249832,549.763356570159,501.453886285091,615.389165516495,"february",TRUE
"SGP",104.09356683555,97.0271075776888,114.344932014122,14.3511383413652,14.2857142857144,14.8507420300251,"february",TRUE
"SRB",13.7770897282345,12.8418230617529,15.1338880606926,2376.01162459066,2320.65449823899,2437.63952046897,"february",TRUE
"SVK",38.2696936895404,35.6717307270915,42.0385779463684,10714.743124101,8801.95078670991,13430.7631858457,"february",TRUE
"SVN",6.12315099032646,5.70747691633464,6.72617247141895,2776.32195057346,1788.99274722513,3397.86579687817,"february",TRUE
"SWE",62.7622976508462,58.50163839243,68.9432678320442,5050.17824470713,4820.43111341437,5328.43689505363,"february",TRUE
"THA",3.06157549516323,2.85373845816732,3.36308623570947,275.195852658976,250.292377676112,1230.64915230344,"february",TRUE
"TUR",212.779496913845,198.334822842629,233.734493381808,10347.2333724873,8004.46428571429,65456.1514058771,"february",TRUE
"UKR",71.9470241363359,67.062853766932,79.0325265391726,5588.47933153439,5080.81032045086,8821.70768919357,"february",TRUE
"USA",1798.6756034084,1676.5713441733,1975.81316347932,93273.1839575191,85893.7866607616,148276.404034557,"february",TRUE
"ZAF",68.8854486411727,64.2091153087647,75.6694403034632,7899.39667419488,6942.65283899401,9145.73900321561,"february",TRUE
"ARE",0,0,0,2430.78124970838,2255.49531784829,2742.45513367493,"march",FALSE
